timestamp,cpu_utilization,memory_utilization,network_in,network_out
2025-01-01 00:00:00,37.48,52.46,106.43,97.42
2025-01-01 00:05:00,34.31,52.28,113.89,99.41
2025-01-01 00:10:00,38.24,44.23,108.05,101.16
2025-01-01 00:15:00,42.62,53.02,122.21,117.04
2025-01-01 00:20:00,33.83,59.4,143.94,86.55
2025-01-01 00:25:00,33.83,47.35,104.58,84.77
2025-01-01 00:30:00,42.9,61.29,140.02,122.26
2025-01-01 00:35:00,38.84,57.93,104.37,91.67
2025-01-01 00:40:00,32.65,50.59,103.05,77.27
2025-01-01 00:45:00,37.71,54.15,136.37,91.27
2025-01-01 00:50:00,32.68,64.59,138.44,94.06
2025-01-01 00:55:00,32.67,59.4,137.03,127.99
2025-01-01 01:00:00,36.21,55.05,93.68,116.65
2025-01-01 01:05:00,25.43,53.57,110.68,120.66
2025-01-01 01:10:00,26.38,55.46,136.46,114.76
2025-01-01 01:15:00,32.19,51.93,120.83,117.03
2025-01-01 01:20:00,29.94,42.37,98.53,87.61
2025-01-01 01:25:00,36.57,67.25,129.17,96.43
2025-01-01 01:30:00,30.46,55.93,105.7,82.18
2025-01-01 01:35:00,27.94,57.39,155.89,96.21
2025-01-01 01:40:00,42.33,54.65,150.9,112.31
2025-01-01 01:45:00,33.87,50.59,132.08,102.42
2025-01-01 01:50:00,35.34,53.88,147.22,123.61
2025-01-01 01:55:00,27.88,45.4,121.3,79.45
2025-01-01 02:00:00,32.28,68.66,135.31,109.0
2025-01-01 02:05:00,35.55,47.59,149.55,77.53
2025-01-01 02:10:00,29.25,48.81,124.91,101.7
2025-01-01 02:15:00,36.88,52.36,114.9,113.33
2025-01-01 02:20:00,32.0,62.73,85.91,96.14
2025-01-01 02:25:00,33.54,55.09,118.34,109.92
2025-01-01 02:30:00,31.99,47.58,136.47,82.72
2025-01-01 02:35:00,44.26,62.53,138.91,70.05
2025-01-01 02:40:00,34.93,59.39,130.09,110.03
2025-01-01 02:45:00,29.71,58.23,109.17,131.39
2025-01-01 02:50:00,39.11,59.29,80.46,82.07
